V1,V2,V3
t,2,113
t,2,382
l,2,518
l,2,769
l,2,827
l,2,913
l,2,967
l,2,1039
f,2,1148
t,2,1203
f,2,1302
t,2,1351
l,2,1386
t,2,1496
t,2,1514
t,2,1535
t,2,1601
t,2,1623
f,2,1660
f,2,1686
f,2,1718
t,2,1878
t,2,1914
t,2,1956
t,3,15
t,3,261
l,3,498
l,3,639
l,3,672
l,3,863
l,3,1865
l,4,559
l,4,725
l,4,811
t,4,1222
t,5,200
l,5,460
l,5,576
t,5,1134
o,6,179
t,6,245
l,6,842
t,6,1472
t,6,1927
t,7,219
l,7,994
f,7,1273
o,8,1081
l,8,1986
t,9,53
l,9,313
f,9,1769
l,10,532
l,10,795
l,10,936
l,10,1016
l,10,1334
o,11,420
l,11,695
l,11,884
l,11,956
t,11,1578
t,12,1453
t,13,288
l,13,486
l,13,1829
t,14,91
l,14,1848
l,15,611
l,15,707
l,15,761
t,15,1424
t,15,1559
t,15,1807
l,16,589
l,16,822
t,16,1108
f,17,400
l,17,973
l,17,1029
f,17,1715
o,18,177
o,18,354
f,18,433
l,18,511
l,18,685
l,18,745
l,18,912
t,18,1596
o,19,18
l,19,806
f,19,1166
t,19,1497
t,19,1940
o,20,127
l,20,870
l,20,993
l,20,1322
l,20,1375
f,20,1407
t,20,1645
l,20,1999
l,21,543
l,22,640
l,22,784
l,22,846
t,22,1079
t,22,1484
t,22,1912
l,23,526
l,23,573
l,23,896
l,23,1006
f,23,1194
l,23,1984
l,24,620
l,24,720
l,24,948
t,24,1756
t,26,1050
o,26,1799
t,27,262
l,27,304
l,27,933
t,27,1468
l,29,203
l,29,504
l,29,1532
t,29,1889
l,30,821
t,30,1346
l,31,663
l,31,741
f,31,1306
f,31,1657
t,31,1738
f,31,1856
l,32,479
l,32,550
l,32,989
o,32,1683
l,34,16
o,34,34
t,34,374
l,34,769
l,34,909
f,34,1288
t,34,1923
o,35,126
t,35,247
l,35,491
l,35,583
l,35,792
l,35,837
t,35,968
l,36,322
l,36,520
l,36,1006
f,36,1828
t,36,1958
o,37,54
l,37,1615
l,37,1971
o,38,163
l,38,926
o,38,1806
t,38,1903
l,39,627
l,39,693
l,39,756
l,39,861
l,39,888
t,39,1066
t,39,1135
o,40,355
l,40,595
t,40,1775
t,40,1934
l,41,720
l,41,1262
t,41,1382
l,41,1536
t,42,1585
f,42,1879
l,43,607
l,44,735
t,44,1452
t,44,1479
o,45,196
f,46,145
o,46,415
f,46,1656
t,46,1758
t,47,279
l,47,548
l,47,813
l,47,915
l,47,992
l,48,492
l,48,949
t,48,1090
l,49,513
l,49,575
l,49,669
f,50,36
o,50,183
l,50,479
t,50,1146
f,50,1316
l,51,617
l,51,1437
t,52,90
l,52,826
t,52,1108
f,52,1692
t,52,1948
l,53,527
l,53,848
t,53,1023
t,53,1073
f,53,1224
t,53,1396
t,53,1719
t,53,1991
l,54,874
t,54,1047
t,54,1133
f,54,1296
l,54,1808
l,56,756
l,56,804
l,56,905
t,57,249
l,58,741
o,58,1505
t,59,69
t,59,456
l,59,630
l,59,1422
t,59,1463
l,60,706
l,61,929
o,61,1365
l,62,500
l,62,769
l,62,888
t,62,1179
f,62,1338
t,62,1761
f,62,1868
f,63,17
f,63,337
l,63,571
l,63,690
f,63,1607
f,64,389
l,64,541
l,64,958
o,66,151
l,66,611
f,67,305
l,67,673
l,67,849
o,67,1291
f,67,1667
f,67,1913
l,68,724
l,68,791
t,68,1129
t,68,1590
l,69,597
t,70,111
l,70,582
l,70,916
t,70,1448
l,70,1779
l,71,524
l,71,557
l,71,834
t,71,1208
t,71,1385
t,71,1995
l,72,703
t,72,1036
f,72,1837
t,73,1154
t,74,231
f,74,417
l,74,484
f,74,1814
t,75,267
l,75,898
l,75,969
t,75,1051
t,75,1748
t,75,1885
t,76,200
l,76,779
l,76,806
t,76,1090
l,76,1518
l,77,735
f,77,1067
l,78,472
l,79,543
l,79,570
l,79,823
t,79,1369
f,79,1696
f,80,357
l,80,643
l,80,677
l,80,931
t,80,1130
t,80,1482
l,81,50
t,81,994
l,81,1796
l,82,623
f,82,1608
f,82,1933
l,83,91
f,83,321
t,83,1023
t,83,1636
t,83,1856
l,84,581
l,84,711
o,84,1331
t,84,1651
l,85,746
l,85,839
l,85,876
f,85,1280
l,86,503
l,86,608
l,86,919
f,86,1235
l,87,486
t,87,1767
t,87,1978
f,88,30
t,88,249
l,88,529
l,88,696
l,88,808
l,88,888
t,88,1195
l,88,1872
l,89,2
t,89,216
f,89,404
l,89,758
t,89,1950
l,90,787
l,90,906
l,90,943
t,90,1430
t,90,1470
l,91,662
l,91,960
t,92,1008
l,92,1453
f,93,451
l,93,719
l,93,733
o,93,1301
t,93,1590
o,93,1711
f,94,302
l,94,824
t,94,1571
t,94,1743
t,95,231
t,95,1124
f,95,1363
o,96,149
l,96,514
o,96,1339
t,98,419
l,98,600
l,98,616
t,98,1026
f,98,1648
l,98,1996
f,99,347
l,99,931
t,99,1375
t,99,1821
t,99,1899
o,100,194
l,100,683
l,100,703
l,100,780
l,100,811
l,100,871
f,100,1695
f,101,384
l,101,845
t,101,1147
f,102,360
l,102,535
o,102,1314
t,103,121
l,104,956
o,104,1418
t,104,1534
t,104,1804
t,104,1869
f,105,33
l,105,745
t,105,1172
o,106,14
l,106,507
l,106,566
t,106,1485
t,107,1007
t,107,1745
l,108,547
l,108,892
t,108,986
t,108,1923
t,109,68
l,109,586
l,109,822
o,109,1275
l,109,1456
t,109,1782
f,110,452
l,110,495
l,110,524
l,110,660
l,110,730
l,110,766
l,110,921
l,110,1189
l,110,1361
t,110,1510
t,110,1944
f,111,302
f,111,1331
l,112,624
l,112,1081
t,113,95
t,113,480
l,113,604
l,113,791
l,113,905
l,115,866
t,115,1126
t,116,1153
o,116,1389
l,116,1846
o,117,216
t,117,236
t,118,143
l,118,698
t,118,939
t,118,1764
t,118,1867
f,119,383
l,119,511
l,119,777
l,119,836
t,119,1551
t,119,1968
l,120,717
t,120,1102
o,120,1288
t,120,1622
o,121,257
l,121,546
l,121,639
l,122,855
l,123,749
l,123,1060
l,123,1247
t,124,121
f,124,409
l,124,592
l,124,923
f,124,1041
l,124,1447
t,124,1584
f,125,169
l,125,500
l,125,732
t,125,1091
l,126,762
l,126,1079
t,127,447
l,127,627
l,127,673
l,127,804
l,127,978
o,127,1009
l,127,1356
l,127,1422
t,127,1986
l,128,562
l,128,579
l,128,652
l,128,875
l,128,904
t,128,1534
l,129,824
t,129,1185
l,130,606
t,130,1790
t,131,76
l,131,529
t,131,1809
l,132,712
t,132,1206
l,132,1713
o,133,332
l,133,1272
f,133,1319
t,134,1499
f,134,1663
t,134,1948
l,135,636
l,135,889
l,135,933
l,136,847
o,136,1024
t,136,1472
f,136,1919
t,137,42
t,138,135
f,138,231
l,138,514
l,138,756
l,138,811
l,138,1371
l,138,1440
f,138,1629
l,139,261
t,139,1127
t,139,1831
l,140,1393
t,141,59
l,141,574
l,141,615
l,141,1050
t,141,1412
t,141,1565
f,142,203
l,142,305
o,142,1009
t,142,1775
l,143,9
l,143,666
l,143,779
l,143,824
l,144,589
t,144,1584
t,144,1883
f,145,110
l,145,688
l,145,919
t,146,151
l,146,558
l,146,729
l,146,1301
t,146,1603
l,147,1342
t,147,1737
t,147,1993
l,148,900
t,148,965
t,148,1039
t,148,1230
t,149,1945
l,150,21
f,150,190
l,150,1162
f,150,1710
l,151,647
l,151,702
f,151,1102
t,152,501
l,152,623
l,152,792
o,153,346
l,153,889
f,153,1121
l,154,438
l,155,547
l,155,808
f,155,990
t,155,1149
t,155,1173
t,155,1395
t,156,298
o,156,319
l,156,527
l,156,849
l,156,1286
t,157,406
l,157,772
t,157,1360
f,157,1669
t,158,267
l,158,1254
t,158,1555
f,158,1651
t,158,1810
l,158,1910
f,159,236
l,159,603
l,159,823
l,160,679
t,160,1340
t,160,1624
o,161,166
o,161,334
l,161,664
l,161,1184
t,161,1235
l,161,1412
t,161,1594
l,162,16
l,163,575
l,163,728
t,163,1528
t,163,1636
f,163,1892
t,164,1486
t,164,1508
f,165,198
l,165,615
l,165,839
t,165,979
t,165,1013
t,165,1457
o,166,287
l,166,365
l,166,695
t,166,934
t,166,1440
f,166,1769
o,166,1946
l,167,90
o,167,880
t,168,46
o,168,135
l,168,641
l,168,798
f,168,1080
l,168,1318
l,168,1580
o,169,268
l,169,747
l,169,1302
l,170,432
l,170,548
t,170,1259
t,170,1979
l,171,114
t,171,503
t,171,1828
t,172,763
l,172,1283
l,173,777
t,173,1383
t,174,1206
l,175,2
l,175,245
l,175,562
f,175,953
l,175,1862
l,176,713
l,176,827
l,176,906
f,176,1750
t,176,1811
t,178,168
l,178,636
l,179,670
t,179,1193
l,180,689
l,180,1315
t,180,1358
t,180,1607
t,180,1783
l,181,1054
t,181,1471
f,181,1720
t,182,102
t,182,216
t,182,1658
o,183,308
t,183,1843
t,183,1961
l,184,409
l,184,599
t,184,733
f,184,934
f,184,1110
t,184,1765
l,185,447
t,185,524
l,185,624
l,185,1496
f,185,1684
l,187,547
o,187,1069
t,187,1137
l,187,1287
l,187,1395
t,187,1550
l,188,72
t,188,1211
l,188,1377
t,188,1575
l,189,1271
t,190,28
l,190,828
t,191,259
t,191,426
t,191,791
l,191,907
f,191,1944
l,192,357
l,192,399
l,192,565
l,192,610
l,192,886
l,192,980
l,192,1258
t,192,1614
t,192,1999
o,194,322
o,194,457
l,194,1878
l,195,660
t,195,1413
t,195,1805
l,196,1237
t,197,1532
t,197,1985
o,198,115
l,198,580
l,198,632
l,198,1106
t,199,11
f,199,191
l,199,1287
t,199,1512
t,199,1647
l,200,93
l,200,816
o,200,850
l,200,1186
f,200,1348
f,200,1361
t,200,1445
l,200,1865
l,201,671
l,201,710
f,201,1032
f,202,76
l,202,305
l,202,943
l,202,1486
f,203,766
l,203,1273
t,203,1832
f,204,160
o,204,391
l,204,1303
t,204,1586
o,205,502
l,205,552
l,205,834
f,205,1719
f,206,1399
f,206,1685
t,207,425
t,207,888
t,208,916
l,208,974
t,208,1140
l,208,1196
f,208,1896
f,209,255
l,209,799
t,209,1156
o,210,130
l,210,602
l,210,661
o,210,1069
t,211,519
l,211,585
l,211,680
t,211,1555
t,211,1605
l,212,1245
f,213,466
l,213,1212
t,213,1783
l,214,624
l,214,722
t,214,738
t,214,1117
t,214,1622
f,215,708
l,215,1310
l,216,342
t,216,449
f,216,1388
t,216,1432
l,217,960
t,217,988
l,218,82
o,218,302
f,218,1698
l,219,322
l,219,561
l,219,1344
l,219,1661
l,220,635
l,220,784
l,220,1277
f,221,374
t,221,822
t,221,1459
t,222,276
l,222,578
l,222,648
t,222,1529
f,222,1855
o,223,210
o,223,834
t,223,930
l,223,1175
f,224,116
t,224,910
l,224,1885
l,225,1203
f,225,1970
f,226,497
t,226,763
f,226,1737
f,227,153
l,227,1224
t,227,1639
t,227,1767
f,228,17
l,228,1259
l,228,1302
t,228,1999
t,229,800
l,229,1240
t,229,1588
f,230,522
l,230,598
l,230,619
l,230,663
t,230,1142
f,230,1714
o,231,192
f,231,257
t,231,1431
l,232,638
f,232,1932
o,233,179
t,233,442
l,233,729
t,233,847
l,234,681
t,234,896
t,235,2
l,235,750
t,235,1123
o,235,1319
l,235,1367
f,236,483
t,236,1823
l,236,1896
l,237,916
t,237,1006
l,237,1173
t,237,1494
l,238,218
t,238,334
o,238,716
l,238,986
f,238,1058
t,238,1514
l,240,1264
l,240,1346
t,241,1596
t,242,1086
l,243,627
l,243,663
l,243,1281
f,244,83
t,244,963
t,244,1790
t,245,879
t,245,1141
l,245,1208
t,245,1473
l,245,1528
o,245,1576
l,246,364
t,246,1432
t,246,1921
l,247,566
l,247,580
l,247,604
l,247,742
l,247,763
t,247,1039
l,247,1838
l,247,1887
t,248,126
f,248,469
t,248,533
l,248,1672
t,248,1815
l,249,651
t,249,1643
o,250,195
t,250,1021
t,250,1219
f,251,71
l,251,498
t,251,1351
t,251,1543
l,251,1716
o,251,1967
l,252,110
t,252,256
l,252,690
l,252,1247
o,253,225
t,253,1986
t,254,1396
t,254,1490
f,254,1745
l,256,727
t,256,1782
t,256,1938
l,257,635
l,257,785
l,257,1296
t,258,161
t,258,375
t,258,858
t,258,1162
l,258,1280
t,258,1453
l,259,578
t,259,1102
t,260,809
f,261,440
l,261,618
l,262,1416
t,262,1530
o,263,2
l,263,715
t,263,1334
o,264,310
t,264,550
l,264,769
t,264,907
t,264,929
l,264,1198
l,264,1817
t,265,272
t,265,522
l,265,670
t,265,1610
t,265,1633
l,266,745
t,266,1032
l,266,1659
l,266,1692
t,266,1967
l,267,654
t,267,1358
f,268,506
l,268,607
l,268,691
t,268,1069
t,269,140
o,269,187
l,269,1313
l,269,1993
l,270,951
t,270,1761
l,271,480
l,271,781
t,271,1784
l,272,728
t,272,1049
l,272,1176
l,272,1250
t,272,1584
l,272,1869
l,273,584
l,273,704
t,273,836
t,274,355
l,274,886
t,274,1132
t,274,1150
f,274,1447
t,274,1894
o,275,73
f,275,388
l,275,1301
l,277,620
